cusip,par_traded,price,yield,maturity_date,settlement_date
544525QZ4,20000.00,109.935,1.700,2022-07-01,2017-12-29
783186QQ5,25000.00,112.452,2.493,2032-05-01,2017-12-29
13063DCD8,20000.00,110.185,2.807,2034-11-01,2017-12-29
346843LA1,10000.00,103.385,2.560,2031-08-15,2017-12-29
346843LA1,10000.00,101.358,2.821,2031-08-15,2017-12-29
491501DV1,40000.00,116.517,2.313,2024-09-01,2017-12-29
646136R29,25000.00,108.403,3.305,2044-06-15,2017-12-29
491501DV1,40000.00,116.517,2.313,2024-09-01,2017-12-29
491501DV1,40000.00,116.267,2.350,2024-09-01,2017-12-29
296335JQ6,25000.00,112.023,1.614,2021-09-01,2017-12-29
341271AA2,15000.00,99.968,2.184,2019-07-01,2017-12-29
542424SA5,15000.00,104.870,1.417,2019-05-15,2017-12-29
542424SA5,15000.00,104.620,1.595,2019-05-15,2017-12-29
097041NW3,500000.00,118.453,2.490,2031-03-01,2017-12-29
34073XCX4,25000.00,106.636,1.750,2030-02-01,2017-12-29
34073XCX4,25000.00,106.636,1.750,2030-02-01,2017-12-29
539563DT0,50000.00,103.455,2.000,2021-06-01,2017-12-29
13063DCD8,20000.00,110.535,2.769,2034-11-01,2017-12-29
54438CVL3,25000.00,111.119,2.550,2031-08-01,2017-12-29
13063DCD8,20000.00,110.435,2.780,2034-11-01,2017-12-29
13063DCD8,20000.00,110.435,2.780,2034-11-01,2017-12-29
54438CVL3,25000.00,111.119,2.550,2031-08-01,2017-12-29
74514LE86,100000.00,23.250,,2035-07-01,2017-12-29
13063BQ62,100000.00,103.930,1.350,2019-02-01,2017-12-29
13063BQ62,100000.00,103.930,1.350,2019-02-01,2017-12-29
13063BQ62,100000.00,103.930,1.350,2019-02-01,2017-12-29
944488QL2,25000.00,111.750,4.883,2025-12-01,2017-12-29
79741TAM6,25000.00,105.840,1.757,2025-05-01,2017-12-29
498413FP3,90000.00,92.322,3.590,2035-09-01,2017-12-29
02765UGZ1,50000.00,100.411,1.986,2023-02-15,2017-12-29
869265YA0,10000.00,118.481,2.475,2026-02-15,2017-12-29
944488QL2,25000.00,111.500,4.970,2025-12-01,2017-12-29
781569EG9,15000.00,98.703,3.153,2027-11-15,2017-12-29
01757LGA8,20000.00,99.335,3.300,2035-08-01,2018-01-02
988176JS3,140000.00,107.746,3.061,2039-08-01,2017-12-28
988176JV6,95000.00,107.899,3.043,2047-08-01,2017-12-29
13063BQ62,100000.00,103.930,1.350,2019-02-01,2017-12-29
988176JV6,95000.00,106.899,3.160,2047-08-01,2017-12-28
13067JMX6,10000.00,104.800,1.997,2021-07-01,2017-12-29
13067JMX6,10000.00,104.900,1.932,2021-07-01,2017-12-29
13067JMX6,10000.00,104.900,1.932,2021-07-01,2017-12-29
3733843L8,25000.00,114.430,1.798,2025-01-01,2017-12-29
492477AC8,50000.00,104.313,3.250,2044-06-01,2017-12-29
3733843L8,25000.00,114.180,1.833,2025-01-01,2017-12-29
64972GPU2,35000.00,108.552,2.957,2048-06-15,2017-12-29
815853RQ1,35000.00,101.872,2.849,2035-08-15,2017-12-29
815853RQ1,35000.00,99.875,3.134,2035-08-15,2017-12-29
74514LE86,100000.00,23.715,,2035-07-01,2017-12-29
92778VBT4,15000.00,112.306,1.860,2022-02-01,2017-12-29
815853RQ1,35000.00,99.875,3.134,2035-08-15,2017-12-29
815853RQ1,35000.00,99.875,3.134,2035-08-15,2017-12-29
642577RP7,30000.00,97.663,3.428,2035-07-01,2017-12-29
690690NW8,300000.00,105.366,2.461,2036-09-01,2017-12-29
13063DDG0,5000000.00,97.822,2.660,2023-10-01,2017-12-29
